Frame,GridMask...,img_backbone...,img_neck...,pts_bbox_head.get_bev_features,pts_bbox_head.get_detections...,UniADTrack.simple_test_track,PansegformerHead.forward_test,MotionHead.forward_test,OccHead.forward_test,PlanningHeadSingleMode.forward_test,velo_update...
192,9819.0,9592.0,8762.0,18206.0,19385.0,101757.0,18807.0,19273.0,19442.0,8996.0,18412.0
193,7494.0,19555.0,8352.0,7880.0,19467.0,89555.0,30104.0,8469.0,18234.0,8019.0,8197.0
194,8121.0,18120.0,8699.0,7877.0,18079.0,98699.0,27547.0,18583.0,8568.0,18708.0,8590.0
195,8501.0,18214.0,9253.0,18952.0,9433.0,93157.0,29010.0,7920.0,19773.0,8538.0,9360.0
196,8508.0,7837.0,9318.0,20144.0,9461.0,102279.0,18717.0,18184.0,17675.0,9368.0,8686.0
197,8820.0,19177.0,9156.0,18708.0,9514.0,83813.0,28309.0,18523.0,8602.0,19216.0,
198,8344.0,7984.0,9107.0,18376.0,18552.0,91414.0,19101.0,19817.0,9158.0,8524.0,9591.0
199,8918.0,19338.0,9798.0,18794.0,17949.0,102675.0,19183.0,19389.0,18986.0,8339.0,8826.0
200,8864.0,8349.0,8514.0,18446.0,9237.0,90309.0,9303.0,18593.0,8047.0,18523.0,9206.0
201,8168.0,18188.0,8369.0,9239.0,19139.0,91371.0,19234.0,19290.0,19545.0,9444.0,8636.0
202,18239.0,9800.0,9160.0,18948.0,9067.0,102273.0,19084.0,9515.0,18143.0,9800.0,8267.0
203,8603.0,8882.0,8708.0,18335.0,19460.0,101953.0,17612.0,19159.0,19676.0,8697.0,10212.0
204,8591.0,18097.0,9368.0,9151.0,9926.0,91273.0,27644.0,18591.0,8997.0,39776.0,8860.0
205,8662.0,19493.0,9324.0,9032.0,18480.0,113179.0,28940.0,8944.0,18426.0,48895.0,9305.0
206,8790.0,17926.0,7558.0,18726.0,18660.0,109663.0,18421.0,19678.0,19214.0,38629.0,8844.0
207,8586.0,8409.0,18510.0,9864.0,19218.0,102275.0,19206.0,19011.0,8923.0,39245.0,9176.0
208,8053.0,17900.0,9612.0,18910.0,8918.0,90997.0,17764.0,17727.0,8549.0,38122.0,9194.0
209,8481.0,18146.0,8673.0,18167.0,8049.0,98107.0,18866.0,8864.0,19108.0,47495.0,7558.0
210,8280.0,19209.0,8214.0,18034.0,9487.0,89859.0,27785.0,8843.0,18438.0,38485.0,8253.0
211,8542.0,28802.0,9014.0,18892.0,9150.0,112156.0,28508.0,18228.0,8991.0,39838.0,9224.0
212,8998.0,9115.0,18172.0,18778.0,8566.0,111255.0,19190.0,19662.0,18659.0,29431.0,8274.0
213,8847.0,28433.0,9156.0,7494.0,19311.0,111203.0,19560.0,18264.0,19080.0,19237.0,7708.0
214,8324.0,18010.0,8319.0,18180.0,18310.0,108334.0,29091.0,19361.0,19548.0,8407.0,9022.0
215,9648.0,19461.0,9222.0,18870.0,8997.0,104172.0,18710.0,9341.0,18346.0,8357.0,8091.0
216,8452.0,8581.0,8029.0,19212.0,8462.0,90837.0,18872.0,18030.0,19159.0,9416.0,8817.0
217,8935.0,18437.0,9312.0,19068.0,7911.0,99183.0,17934.0,18651.0,18450.0,8316.0,7387.0
218,8702.0,17842.0,18022.0,8916.0,18824.0,110817.0,18925.0,8843.0,20033.0,8509.0,8899.0
219,8697.0,28574.0,9336.0,18664.0,8504.0,112146.0,28884.0,18703.0,18503.0,9600.0,8320.0
220,8915.0,18615.0,9027.0,18509.0,17625.0,108486.0,18359.0,29097.0,9247.0,19241.0,7843.0
221,9146.0,19085.0,9101.0,18421.0,18607.0,111485.0,28447.0,8349.0,18217.0,9428.0,7597.0
222,9006.0,18717.0,7447.0,28252.0,18579.0,119888.0,19380.0,18091.0,18291.0,8652.0,8624.0
223,9306.0,28441.0,9026.0,18390.0,8377.0,110379.0,18168.0,28626.0,18221.0,7438.0,8099.0
224,9601.0,18912.0,9686.0,18806.0,19216.0,104362.0,27989.0,18160.0,18960.0,9226.0,7829.0
225,8500.0,17678.0,8190.0,18827.0,19718.0,100580.0,29020.0,18818.0,19130.0,8714.0,8994.0
226,9166.0,18716.0,7497.0,18500.0,19210.0,109021.0,28039.0,8616.0,18342.0,8350.0,8076.0
227,8657.0,18034.0,9083.0,18634.0,8965.0,101680.0,18193.0,8847.0,17102.0,9492.0,9117.0
228,9263.0,19046.0,9253.0,18587.0,17903.0,100554.0,19081.0,18214.0,8600.0,9487.0,8211.0
229,8385.0,17618.0,8826.0,18612.0,19124.0,100310.0,18996.0,19605.0,8051.0,8334.0,8885.0
230,9568.0,18269.0,8067.0,19127.0,8029.0,109862.0,27321.0,18352.0,17858.0,9148.0,9845.0
231,9469.0,19149.0,7562.0,18851.0,18238.0,111561.0,28170.0,8179.0,19239.0,9689.0,8951.0
